fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,1.0,591,59.099998474121094,1.0,1.0,1.0,1.0,4.136564655254915e-07,3.069243120989995e-06,0.1373004913330078,0.8626960515975952
0.0,0.0,0.0,1.0,592,59.20000076293945,1.0,1.0,1.0,1.0,4.051757514389465e-06,2.3225355107570067e-05,0.5045027136802673,0.4954700171947479
0.0,0.0,0.0,1.0,593,59.29999923706055,1.0,1.0,1.0,1.0,2.9908790111221606e-07,2.4012515495996922e-06,0.25418418645858765,0.7458131313323975
0.0,0.0,0.0,1.0,594,59.400001525878906,1.0,1.0,1.0,1.0,1.4711473568240763e-06,2.818455641317996e-06,0.7871925234794617,0.21280309557914734
0.0,0.0,0.0,1.0,595,59.5,1.0,1.0,1.0,1.0,1.4212021426374122e-07,1.3203831485952833e-06,0.5965498089790344,0.40344876050949097
0.0,0.0,0.0,1.0,596,59.599998474121094,1.0,1.0,1.0,1.0,4.334402703420892e-08,5.594925482910185e-07,0.23326927423477173,0.7667301297187805
0.0,0.0,0.0,1.0,597,59.70000076293945,1.0,1.0,1.0,1.0,3.6960997817914176e-08,6.164165711197711e-08,0.1319262832403183,0.8680736422538757
0.0,0.0,0.0,1.0,598,59.79999923706055,1.0,1.0,1.0,1.0,4.935488462365356e-08,4.772687134391163e-07,0.11080741882324219,0.8891921043395996
0.0,0.0,0.0,1.0,599,59.900001525878906,1.0,1.0,1.0,1.0,1.0355676316464724e-08,8.33242665976286e-08,0.09920808672904968,0.9007918834686279
0.0,0.0,0.0,1.0,600,60.0,1.0,1.0,1.0,1.0,6.632271976059201e-08,1.5991771817880363e-07,0.19818049669265747,0.8018193244934082
0.0,0.0,0.0,1.0,601,60.099998474121094,1.0,1.0,1.0,1.0,2.211415228714486e-08,6.400504304338028e-08,0.18728125095367432,0.8127186298370361
0.0,0.0,0.0,1.0,602,60.20000076293945,1.0,1.0,1.0,1.0,3.385468616556864e-08,2.5158666261404505e-08,0.06973154842853546,0.930268406867981
0.0,0.0,0.0,1.0,603,60.29999923706055,1.0,1.0,1.0,1.0,8.666740541229956e-06,1.661203714320436e-05,0.998768150806427,0.0012065592454746366
0.0,0.0,0.0,1.0,604,60.400001525878906,1.0,1.0,1.0,1.0,4.6993193336675176e-07,2.6714610612543765e-06,0.9653373956680298,0.034659553319215775
0.0,0.0,0.0,1.0,605,60.5,1.0,1.0,1.0,1.0,3.915845070423529e-07,8.129503612508415e-07,0.9979142546653748,0.0020844913087785244
0.0,0.0,0.0,1.0,606,60.599998474121094,1.0,1.0,1.0,1.0,4.019376831365662e-07,6.863950261504215e-07,0.9998378753662109,0.00016104853420984
0.0,0.0,0.0,1.0,607,60.70000076293945,1.0,1.0,1.0,1.0,4.397876978146087e-07,1.8890166302298894e-06,0.9999891519546509,8.47632600198267e-06
0.0,0.0,0.0,1.0,608,60.79999923706055,1.0,1.0,1.0,1.0,7.368672072516347e-07,7.272163315974467e-07,0.9999914169311523,7.151752470235806e-06
